,TRM,location,cycleTime,residue.cumsum
1,60125,Whitecourt,1.486128889,8.784454559
2,59125,Whitecourt,1.496479258,158.3011628
3,61125,Whitecourt,1.553344917,1246.875253
4,60135,Whitecourt,1.6352705,2242.831889
5,62125,Whitecourt,1.849128806,12350.91473
6,59105,Whitecourt,1.9360285,12808.39493
7,59135,Whitecourt,1.958621556,12839.57919
8,58135,Whitecourt,1.959904806,12843.54839
9,61155,Whitecourt,1.978729778,13051.12845
10,62115,Whitecourt,2.034025778,16385.751
11,58105,Whitecourt,2.081724306,16836.16
12,63115,Whitecourt,2.136474111,18086.88631
13,61135,Whitecourt,2.179602333,18155.17237
14,61115,Whitecourt,2.187650278,24621.88409
15,62155,Whitecourt,2.206699556,33707.89868
16,58115,Whitecourt,2.223371389,34466.20225
17,58095,Whitecourt,2.242023111,34468.39293
18,58125,Whitecourt,2.278108111,34540.72611
19,63125,Whitecourt,2.281523389,34577.72381
20,58145,Whitecourt,2.310796139,43725.28715
21,57105,Whitecourt,2.385917556,43743.11037
22,60105,Whitecourt,2.39932725,44199.09725
23,61165,Whitecourt,2.462297889,44223.86467
24,63105,Whitecourt,2.475318861,54017.87074
25,62165,Whitecourt,2.479838083,67332.06081
26,57145,Whitecourt,2.483076389,70546.89971
27,64105,Whitecourt,2.492718111,74516.29741
28,55145,Whitecourt,2.622297667,75080.92494
29,61175,Whitecourt,2.629736083,75144.59374
30,64115,Whitecourt,2.643669444,76001.93838
31,61105,Whitecourt,2.652484861,76822.78678
32,61145,Whitecourt,2.653203389,76849.20857
33,59095,Whitecourt,2.666507944,77153.78214
34,58075,Whitecourt,2.690035,77164.28274
35,59145,Whitecourt,2.707726111,80757.22475
36,57115,Whitecourt,2.7692015,81051.68757
37,59155,Whitecourt,2.776186778,83938.64368
38,64125,Whitecourt,2.789967222,83957.88185
39,62145,Whitecourt,2.8125385,84059.16063
40,60095,Whitecourt,2.834041972,84141.36673
41,61185,Whitecourt,2.853523556,89111.37055
42,56105,Whitecourt,2.871513333,89127.94047
43,63165,Whitecourt,2.897045361,92255.13282
44,66105,Whitecourt,2.902217222,93672.14147
45,62105,Whitecourt,2.922145333,93674.0941
46,65105,Whitecourt,2.927547222,93758.60776
47,56115,Whitecourt,2.929168111,94404.88721
48,62185,Whitecourt,2.9324085,94588.3456
49,56155,Whitecourt,2.976147722,97161.74902
50,55155,Whitecourt,2.984143333,97186.61666
51,62175,Whitecourt,2.988306778,97506.62831
52,62195,Whitecourt,2.991471556,99007.51846
53,56095,Whitecourt,3.012624806,99066.27458
54,65095,Whitecourt,3.03304975,103663.8302
55,61095,Whitecourt,3.046495611,104204.7719
56,56075,Whitecourt,3.071894444,104320.0026
57,61085,Whitecourt,3.089052778,104395.355
58,53145,Whitecourt,3.110898056,104583.1762
59,63155,Whitecourt,3.135098,105044.3583
60,60185,Whitecourt,3.138955306,105308.0625
61,54085,Whitecourt,3.152158611,105315.5898
62,54155,Whitecourt,3.158511111,105317.8884
63,60165,Whitecourt,3.183445417,105492.3288
64,59065,Whitecourt,3.201191306,105511.4844
65,59085,Whitecourt,3.2072305,105780.6452
66,58155,Whitecourt,3.208514889,114674.0282
67,66095,Whitecourt,3.208929833,115062.0489
68,67095,Whitecourt,3.226449639,115538.7047
69,62205,Whitecourt,3.232843667,119373.9998
70,59165,Whitecourt,3.251012833,119383.1356
71,57155,Whitecourt,3.307229667,123592.7962
72,56135,Whitecourt,3.310284583,124816.0883
73,56055,Whitecourt,3.330453889,124832.3786
74,59055,Whitecourt,3.336972222,124847.1858
75,53155,Whitecourt,3.365430806,124854.7427
76,66115,Whitecourt,3.367674778,131229.6636
77,53085,Whitecourt,3.390534667,131252.4798
78,54075,Whitecourt,3.413796278,131629.6714
79,55125,Whitecourt,3.421851444,131633.4088
80,65115,Whitecourt,3.436535528,131720.3617
81,64095,Whitecourt,3.441347222,131733.8871
82,56125,Whitecourt,3.444879333,131839.0987
83,58055,Whitecourt,3.452019361,131841.2039
84,55065,Whitecourt,3.469470528,131874.1238
85,61195,Whitecourt,3.474280278,137362.4325
86,62075,Whitecourt,3.475360278,137374.5462
87,54165,Whitecourt,3.516977806,137402.8784
88,66125,Whitecourt,3.518104778,145280.6162
89,64085,Whitecourt,3.520417722,145282.5109
90,63095,Whitecourt,3.525211556,145472.0135
91,54115,Whitecourt,3.528031056,145476.1309
92,55095,Whitecourt,3.528972111,145568.0948
93,56165,Whitecourt,3.530725222,146567.1742
94,59185,Whitecourt,3.539313444,153901.3728
95,67105,Whitecourt,3.560681306,155798.5879
96,53075,Whitecourt,3.560711611,155810.5127
97,55165,Whitecourt,3.5649695,156246.3218
98,55045,Whitecourt,3.565613222,156451.4844
99,59075,Whitecourt,3.572305861,156667.9402
100,63195,Whitecourt,3.575990917,156673.0687
101,52145,Whitecourt,3.605653472,156954.6806
102,68095,Whitecourt,3.618278611,160319.6783
103,54125,Whitecourt,3.621172944,160513.3598
104,63175,Whitecourt,3.646072333,162075.5166
105,62085,Whitecourt,3.690150583,166301.364
106,62065,Whitecourt,3.692328667,166584.5697
107,55055,Whitecourt,3.692467944,166598.8198
108,60175,Whitecourt,3.710896556,166828.9416
109,58165,Whitecourt,3.731725056,166900.9237
110,53175,Whitecourt,3.733644778,166904.9618
111,53115,Whitecourt,3.7606815,166916.7544
112,59195,Whitecourt,3.7685765,167775.5915
113,60055,Whitecourt,3.773269083,167801.0281
114,54105,Whitecourt,3.773573889,167919.3427
115,62095,Whitecourt,3.774130972,175846.1383
116,60195,Whitecourt,3.786201278,184075.4185
117,55035,Whitecourt,3.788130833,184087.6535
118,52135,Whitecourt,3.796566778,185607.0472
119,53105,Whitecourt,3.806065278,185710.0205
120,65085,Whitecourt,3.807210222,187789.6226
121,52155,Whitecourt,3.821077778,188182.8409
122,53065,Whitecourt,3.828690111,188333.0903
123,60065,Whitecourt,3.836120111,188375.3463
124,55105,Whitecourt,3.8559725,188381.0409
125,54045,Whitecourt,3.862537528,188394.6869
126,65155,Whitecourt,3.863137528,188396.4369
127,63075,Whitecourt,3.867078667,188441.1232
128,65215,Whitecourt,3.869396278,188467.5636
129,54065,Whitecourt,3.878160278,188555.4354
130,69095,Whitecourt,3.893869528,189354.5833
131,66085,Whitecourt,3.911575222,189537.1669
132,56045,Whitecourt,3.912937722,189554.1545
133,67115,Whitecourt,3.916924444,193212.0288
134,62215,Whitecourt,3.957659972,193848.0817
135,61205,Whitecourt,3.961327556,194058.8794
136,54175,Whitecourt,3.990355278,194078.5156
137,53055,Whitecourt,3.997488472,194080.6938
138,61055,Whitecourt,4.013117167,194087.6153
139,51145,Whitecourt,4.019648889,194429.4419
140,60085,Whitecourt,4.022285639,194431.9158
141,58035,Whitecourt,4.022809389,194441.5716
142,59205,Whitecourt,4.041844667,202022.1522
143,61215,Whitecourt,4.055677833,202035.8782
144,60045,Whitecourt,4.090120556,202051.8939
145,62055,Whitecourt,4.091161306,202055.1112
146,64075,Whitecourt,4.099109083,202536.9423
147,70095,Whitecourt,4.102388111,203272.1202
148,61065,Whitecourt,4.129658556,203491.3202
149,51075,Whitecourt,4.144405,203535.4802
150,61225,Whitecourt,4.1634525,207768.0951
151,53045,Whitecourt,4.185138444,207830.3853
152,57045,Whitecourt,4.186965389,208036.0135
153,61075,Whitecourt,4.1975595,208038.048
154,57035,Whitecourt,4.226469278,208163.1076
155,51155,Whitecourt,4.232128639,209246.039
156,63085,Whitecourt,4.283979667,209265.1486
157,63055,Whitecourt,4.290159028,211262.0607
158,59175,Whitecourt,4.294258944,211570.7515
159,52105,Whitecourt,4.296842056,211619.4236
160,64175,Whitecourt,4.308451222,214131.926
161,71095,Whitecourt,4.319971861,218239.2931
162,61035,Whitecourt,4.320642,218243.9984
163,51135,Whitecourt,4.322764861,224371.6493
164,52185,Whitecourt,4.322887222,227976.8488
165,67125,Whitecourt,4.332672556,227978.9324
166,53035,Whitecourt,4.335681528,227998.851
167,59215,Whitecourt,4.346272028,237397.4745
168,66225,Whitecourt,4.3606255,237414.143
169,53195,Whitecourt,4.361916111,238398.2616
170,53025,Whitecourt,4.368184111,238406.9226
171,63065,Whitecourt,4.384917111,238738.0678
172,55015,Whitecourt,4.387244,238775.3172
173,58185,Whitecourt,4.393811944,240274.224
174,50155,Whitecourt,4.39601225,240276.0091
175,54015,Whitecourt,4.397227861,240278.8974
176,60075,Whitecourt,4.4217095,240729.7646
177,58025,Whitecourt,4.432758583,240840.6043
178,67215,Whitecourt,4.459380472,241101.8703
179,52055,Whitecourt,4.460246833,241583.627
180,49075,Whitecourt,4.4829375,241593.0671
181,57025,Whitecourt,4.506311389,241721.0375
182,60225,Whitecourt,4.509532028,244852.696
183,69085,Whitecourt,4.517044889,246669.5467
184,51065,Whitecourt,4.522726639,246728.5587
185,68085,Whitecourt,4.530289167,251554.3032
186,52125,Whitecourt,4.532656611,251783.7022
187,66145,Whitecourt,4.534359472,252080.0842
188,54185,Whitecourt,4.535393722,263754.9359
189,68105,Whitecourt,4.548083194,280222.6289
190,58195,Whitecourt,4.573167667,280635.8315
191,59225,Whitecourt,4.582054556,285254.7093
192,58215,Whitecourt,4.5832225,292510.0887
193,65205,Whitecourt,4.587097778,292521.3625
194,52115,Whitecourt,4.600919694,293547.4135
195,56025,Whitecourt,4.613804556,293689.6602
196,62035,Whitecourt,4.615438306,293691.1932
197,54274,Whitecourt,4.617431972,293712.5926
198,72095,Whitecourt,4.624038333,293718.1645
199,55175,Whitecourt,4.628476278,293944.1907
200,55185,Whitecourt,4.647233611,294775.3997
201,51105,Whitecourt,4.655274833,294931.9819
202,63185,Whitecourt,4.66093875,294952.7942
203,52175,Whitecourt,4.672674722,298288.4821
204,50065,Whitecourt,4.681539639,298298.349
205,58015,Whitecourt,4.693849083,298318.0508
206,51195,Whitecourt,4.694508167,300058.0481
207,50085,Whitecourt,4.695487861,300068.0574
208,49155,Whitecourt,4.701405389,300150.9599
209,61045,Whitecourt,4.7037655,300152.863
210,73105,Whitecourt,4.716477556,300216.3686
211,55274,Whitecourt,4.733648833,300276.183
212,60205,Whitecourt,4.763940944,300938.9308
213,56015,Whitecourt,4.769946778,301051.0287
214,62225,Whitecourt,4.771270278,301053.0021
215,52015,Whitecourt,4.782182222,301093.6793
216,52195,Whitecourt,4.814701167,301876.1832
217,53205,Whitecourt,4.819091667,301899.3094
218,57015,Whitecourt,4.821775778,301928.2499
219,70085,Whitecourt,4.841892833,317547.7241
220,60215,Whitecourt,4.8569895,317607.5181
221,50145,Whitecourt,4.8612845,317677.2526
222,58205,Whitecourt,4.886047611,318074.353
223,72105,Whitecourt,4.894044944,318332.4763
224,53215,Whitecourt,4.906239167,318415.496
225,48075,Whitecourt,4.922597361,318417.8025
226,49065,Whitecourt,4.929626556,318423.4061
227,73085,Whitecourt,4.945586611,320374.0003
228,69215,Whitecourt,4.981445889,320377.4834
229,64055,Whitecourt,5.021409056,321747.4021
230,69105,Whitecourt,5.024296056,322308.6409
231,64065,Whitecourt,5.052096528,322402.4254
232,71085,Whitecourt,5.063036333,322426.11
233,73115,Whitecourt,5.084998111,323056.6738
234,60254,Whitecourt,5.101980194,323104.6042
235,57195,Whitecourt,5.108564167,323946.9028
236,67235,Whitecourt,5.128836417,323976.5835
237,70235,Whitecourt,5.132469611,324072.9893
238,55195,Whitecourt,5.136151472,325832.7508
239,50205,Whitecourt,5.148984889,326057.3335
240,60235,Whitecourt,5.164015528,326120.4126
241,49105,Whitecourt,5.171126722,326205.2556
242,51035,Whitecourt,5.182665333,326689.0623
243,56195,Whitecourt,5.199313444,326762.2257
244,73075,Whitecourt,5.221472028,329850.4356
245,71225,Whitecourt,5.230735028,329854.7227
246,50095,Whitecourt,5.240571361,329874.7044
247,51115,Whitecourt,5.287020444,330213.4128
248,71215,Whitecourt,5.291480889,330228.2552
249,65235,Whitecourt,5.294485611,330230.3923
250,54195,Whitecourt,5.297474944,331051.1673
251,62264,Whitecourt,5.300674083,331272.3046
252,70105,Whitecourt,5.302563222,331753.9484
253,73125,Whitecourt,5.327832111,332067.211
254,51205,Whitecourt,5.352523889,333847.4445
255,49145,Whitecourt,5.3735535,333878.627
256,59245,Whitecourt,5.379285222,338825.0978
257,67145,Whitecourt,5.395651556,342223.3033
258,49215,Whitecourt,5.396742472,342456.6728
259,47075,Whitecourt,5.424702944,342579.1518
260,69205,Whitecourt,5.431218917,342581.4685
261,61235,Whitecourt,5.436825167,343101.8668
262,65175,Whitecourt,5.441359556,343105.9269
263,60244,Whitecourt,5.448124889,343114.2616
264,50165,Whitecourt,5.449326222,343124.7377
265,53225,Whitecourt,5.450972556,343710.3238
266,48055,Whitecourt,5.468508167,343714.2878
267,52235,Whitecourt,5.477315889,344227.9207
268,48145,Whitecourt,5.481785194,344420.2269
269,50045,Whitecourt,5.483898306,344427.0471
270,72215,Whitecourt,5.488021222,344440.5965
271,57185,Whitecourt,5.49088025,344541.4681
272,72225,Whitecourt,5.491388167,344687.3162
273,64245,Whitecourt,5.508151389,344926.5432
274,49115,Whitecourt,5.509408167,345164.0561
275,50035,Whitecourt,5.518039944,345254.8657
276,48105,Whitecourt,5.5278635,345304.3182
277,55205,Whitecourt,5.5333495,345607.9987
278,54205,Whitecourt,5.545032833,350143.3207
279,52205,Whitecourt,5.558209,350441.0541
280,51165,Whitecourt,5.567120111,350790.2595
281,50025,Whitecourt,5.582822,350854.8441
282,50215,Whitecourt,5.591508083,351021.9745
283,64255,Whitecourt,5.608159139,351119.4873
284,50135,Whitecourt,5.625544639,351126.5566
285,51125,Whitecourt,5.651733222,353479.1741
286,71205,Whitecourt,5.665361694,353482.5615
287,74105,Whitecourt,5.670827111,353566.5714
288,49205,Whitecourt,5.67281475,358192.7549
289,54215,Whitecourt,5.675921556,358251.6118
290,73135,Whitecourt,5.67633225,358275.0506
291,64035,Whitecourt,5.678642722,358291.7944
292,46075,Whitecourt,5.680090944,358299.5179
293,47105,Whitecourt,5.684404333,358301.3167
294,48135,Whitecourt,5.693384222,358717.8486
295,47095,Whitecourt,5.695761778,358919.9051
296,62244,Whitecourt,5.701246111,358923.2708
297,65055,Whitecourt,5.707211722,370173.4824
298,73215,Whitecourt,5.710903778,370193.1035
299,68205,Whitecourt,5.712178944,370418.0001
300,50195,Whitecourt,5.713980444,370422.5579
301,51185,Whitecourt,5.714455389,391006.0849
302,62235,Whitecourt,5.722099556,392549.5666
303,72055,Whitecourt,5.723703667,394594.8327
304,70255,Whitecourt,5.730084056,398543.8793
305,52225,Whitecourt,5.732699806,400082.8823
306,69195,Whitecourt,5.742142389,400093.3327
307,60234,Whitecourt,5.748592222,400200.6377
308,53235,Whitecourt,5.768024333,400441.8381
309,52245,Whitecourt,5.770886722,401531.0231
310,47085,Whitecourt,5.782626583,401537.4073
311,63025,Whitecourt,5.8151725,402373.7985
312,56205,Whitecourt,5.816800694,402451.612
313,60245,Whitecourt,5.818143778,402463.0695
314,64235,Whitecourt,5.827644278,402483.0887
315,48215,Whitecourt,5.846880111,403663.155
316,50125,Whitecourt,5.847991556,404121.984
317,74145,Whitecourt,5.869008667,404703.005
318,58255,Whitecourt,5.874437389,404891.2049
319,74215,Whitecourt,5.887133,404922.354
320,72065,Whitecourt,5.8904495,411672.3023
321,65255,Whitecourt,5.909833472,411678.9854
322,45075,Whitecourt,5.912142861,411681.3086
323,57205,Whitecourt,5.915222667,411717.6894
324,72085,Whitecourt,5.916960333,411750.2637
325,64264,Whitecourt,5.923555278,411752.0909
326,73225,Whitecourt,5.924151139,412899.0143
327,72045,Whitecourt,5.927080944,413027.378
328,71195,Whitecourt,5.931509444,413034.8302
329,48205,Whitecourt,5.931745556,413573.677
330,73055,Whitecourt,5.945059,413642.4104
331,74155,Whitecourt,5.950692222,413788.1573
332,58245,Whitecourt,5.960434417,414108.2618
333,62234,Whitecourt,5.961779806,414114.4563
334,51255,Whitecourt,5.973613444,415246.7869
335,70115,Whitecourt,5.9848595,415252.1982
336,55215,Whitecourt,5.988376667,415507.4928
337,72205,Whitecourt,5.989132722,416617.0017
338,51215,Whitecourt,5.992239639,416815.4954
339,73205,Whitecourt,6.002507333,416858.1148
340,71265,Whitecourt,6.003618806,417247.1618
341,48115,Whitecourt,6.008703083,417248.8553
342,58265,Whitecourt,6.035351139,443667.5863
343,65065,Whitecourt,6.060933778,443769.3243
344,47115,Whitecourt,6.071926722,443788.8734
345,74125,Whitecourt,6.078568361,443801.0384
